ID;ames;set;ACDlogD65;ACDlogD74;ACDlogP;GClogP;NNlogP;ClogP;HBA_nonLipinski;HBD_nonLipinski;HBA;HBD;HB_sum;HBA_Selma;HBD_Selma;HBA_Raevsky;HBD_Raevsky;HBAmax;HBDmax;HBAsum;HBDsum;HBsumTotal;PSA;SAS_HB_A_AREA;SAS_HB_D_AREA;SAS_POL_AREA;SPEC_HB_TOT;SPEC_SAS_HB_A_AREA;SPEC_SAS_HB_D_AREA;SPEC_SAS_POL_AREA;SPEC_VDW_HB_A_AREA;SPEC_VDW_HB_D_AREA;SPEC_VDW_POL_AREA;VDW_HB_A_AREA;VDW_HB_D_AREA;VDW_POL_AREA;PSA_percentage;CMR;RotBond;VOL;GraphDiameter;GraphRadius;M1M;M2M;M3M;MolVol2D;MW;MolFlex;VDW_AREA;NPSA;AREA;NPSA_percentage;OVAL_NEW;SAS_NONPOL_AREA;SAS_TOT_AREA;SPEC_FLEX_BND;SPEC_SAS_NONPOL_AREA;SPEC_VDW_NONPOL_AREA;VDW_NONPOL_AREA;FractionNeutral;FractionIonized;Acid;Base;Neutral;Zwitterion;AverNegCharge_GM;AverNegCharge_GH;AverPosCharge_GM;AverPosCharge_GH;ChargeRang_GM;ChargeRange_GH;CHARGED;CHARGES;DipoleMomGH;DipoleMomGM;HOMO;LUMO;HuckelPiEnergy;HuckelResEnergy;MaxNegChargeGM;MaxPosChargeGM;MaxNegChargeGH;MaxPosChargeGH;MM_FHADSA;MM_FHASA;MM_FHDSA;MM_HACA;MM_HADCA;MM_HADSA;MM_HASA;MM_HDCA;MM_HDSA;MM_MAXNEG;MM_MAXPOS;MM_PCWT;MM_QMIN;MM_QC;MM_QH;MM_QN;MM_QnegMean;MM_QnegVar;MM_QO;MM_QON;MM_QposMean;MM_QposVar;MM_RNCS;MM_SAS_EP_N_AREA;MM_SAS_EP_N_MEAN;MM_SAS_EP_N_SUM;MM_SAS_EP_N_VAR;MM_SAS_EP_P_AREA;MM_SAS_EP_P_MEAN;MM_SAS_EP_P_SUM;MM_SAS_EP_P_VAR;MM_SPEC_SAS_EP_N_AREA;MM_SPEC_SAS_EP_P_AREA;MM_SPEC_VDW_EP_N_AREA;MM_SPEC_VDW_EP_P_AREA;MM_VDW_EP_N_AREA;MM_VDW_EP_N_MEAN;MM_VDW_EP_N_SUM;MM_VDW_EP_N_VAR;MM_VDW_EP_P_AREA;MM_VDW_EP_P_MEAN;MM_VDW_EP_P_SUM;MM_VDW_EP_P_VAR;NegIonCenters;NEG_charges;NEL_HCNOS;NEL_all;Polarizability;PosIonCenters;POS_charges;Amine1;Amine2;Amine3;AromCount;AtomCount;BromineCount;CarbonCount;ChlorineCount;FluorineCount;HAROM;HeavyAtomCount;IodineCount;MaxRing1;MaxRing2;MaxRing3;MWNPat;MWPat;MWSHDA;OxygenCount;NitrogenCount;NHCount;OHCount;PhosphorusCount;SulfurCount;HalogenCount;SiliconCount;RingCount;NonpolarCount;NonpolarCountMW;NPAT;BondCount;RigidbondCount;PAT;PolarCount;PolarCountMW;PIAT;QUATER;Balaban;IC;Kappa1;Kappa2;Kappa3;Chi0;Chi2;Chi3c;Chi3p;Chi4c;Chi4p;Chi5c;Chi5p;Chi6p;MaxEV1;MaxEV2;MaxEV3;MinEV1;MinEV2;MinEV3;MindistAA;MindistDA;MindistDD;Motoc;Randic;Wiener;SIC;Lipinski;SELMA_GC_type_000;SELMA_GC_type_001;SELMA_GC_type_002;SELMA_GC_type_003;SELMA_GC_type_004;SELMA_GC_type_005;SELMA_GC_type_006;SELMA_GC_type_007;SELMA_GC_type_008;SELMA_GC_type_009;SELMA_GC_type_010;SELMA_GC_type_011;SELMA_GC_type_012;SELMA_GC_type_013;SELMA_GC_type_014;SELMA_GC_type_015;SELMA_GC_type_016;SELMA_GC_type_017;SELMA_GC_type_018;SELMA_GC_type_019;SELMA_GC_type_020;SELMA_GC_type_021;SELMA_GC_type_022;SELMA_GC_type_023;SELMA_GC_type_024;SELMA_GC_type_025;SELMA_GC_type_026;SELMA_GC_type_027;SELMA_GC_type_028;SELMA_GC_type_029;SELMA_GC_type_030;SELMA_GC_type_031;SELMA_GC_type_032;SELMA_GC_type_033;SELMA_GC_type_034;SELMA_GC_type_035;SELMA_GC_type_036;SELMA_GC_type_037;SELMA_GC_type_038;SELMA_GC_type_039;SELMA_GC_type_040;SELMA_GC_type_041;SELMA_GC_type_042;SELMA_GC_type_043;SELMA_GC_type_044;SELMA_GC_type_045;SELMA_GC_type_046;SELMA_GC_type_047;SELMA_GC_type_048;SELMA_GC_type_049;SELMA_GC_type_050;SELMA_GC_type_051;SELMA_GC_type_052;SELMA_GC_type_053;SELMA_GC_type_054;SELMA_GC_type_055;SELMA_GC_type_056;SELMA_GC_type_057;SELMA_GC_type_058;SELMA_GC_type_059;SELMA_GC_type_060;SELMA_GC_type_061;SELMA_GC_type_062;SELMA_GC_type_063;SELMA_GC_type_064;SELMA_GC_type_065;SELMA_GC_type_066;SELMA_GC_type_067;SELMA_GC_type_068;SELMA_GC_type_069;SELMA_GC_type_070;SELMA_GC_type_071;SELMA_GC_type_072;SELMA_GC_type_073;SELMA_GC_type_074;SELMA_GC_type_075;SELMA_GC_type_076;SELMA_GC_type_077;SELMA_GC_type_078;SELMA_GC_type_079;SELMA_GC_type_080;SELMA_GC_type_081;SELMA_GC_type_082;SELMA_GC_type_083;SELMA_GC_type_084;SELMA_GC_type_085;SELMA_GC_type_086;SELMA_GC_type_087;SELMA_GC_type_088;SELMA_GC_type_089;SELMA_GC_type_090;SELMA_GC_type_091;SELMA_GC_type_092;SELMA_GC_type_093;SELMA_GC_type_094;SELMA_GC_type_095;SELMA_GC_type_096;SELMA_GC_type_097;SELMA_GC_type_098;SELMA_GC_type_099;SELMA_GC_type_100;SELMA_GC_type_101;SELMA_GC_type_102;SELMA_GC_type_103;SELMA_GC_type_104;SELMA_GC_type_105;SELMA_GC_type_106;SELMA_GC_type_107;SELMA_GC_type_108;SELMA_GC_type_109;SELMA_GC_type_110;SELMA_GC_type_111;SELMA_GC_type_112;SELMA_GC_type_113;SELMA_GC_type_114;SELMA_GC_type_115;SELMA_GC_type_116;SELMA_GC_type_117;SELMA_GC_type_118;SELMA_GC_type_119;SELMA_GC_type_120
1;?;ts;8.72;8.72;8.72;7.752;6.173;8.84;6;2;8;2;8;8;2;8;2;1.72;-2.04;14.76;-4.08;18.84;137.6;192.4;16.51;208.9;0.16;0.2315;0.01986;0.2514;0.1983;0.04152;0.2398;108.2;22.67;130.9;24.82;18.3;0;516.4;17;9;217.7;97.11;4.00E-05;940.3;646.6;4.713;545.9;416.7;554.3;75.18;1.195;622.3;831.2;0;0.7486;0.7602;415;1;0;0;0;1;0;-0.1323;-0.4131;0.0722;0.1259;0.55;1.274;0;0;15.29;5.64;-0.5553;-0.3252;-77.56;11.56;-0.351;0.199;-0.8001;0.4737;1.233;1.139;0.04091;0.6216;0.6733;0.02881;0.0266;0.02233;0.0009558;-0.57;0.3976;-20.95;-0.57;5.912;2.724;0.232;-0.192;0.1903;3.42;3.652;0.1536;0.1125;1.776;347.8;-22.94;-8.184;18.34;483.5;13.49;6.19;7.775;0.4184;0.5816;0.4154;0.5846;226.8;-63.96;-14.21;50.86;319.2;48.9;14.34;34.79;0;0;332;332;69.25;0;0;0;0;0;44;68;0;42;0;0;18;50;0;44;40;40;323.3;76.07;76.07;6;2;2;0;0;0;0;0;11;36;0.0557;34;60;60;8;6;0.0093;50;0;0.646;3.219;33.35;12.25;7.777;27.89;14.35;1.981;12.17;5.33;9.648;0;6.682;4.926;10.3;10.18;10.14;2.115;2.194;2.196;4;4;5;7.515;17.34;8149;0.2275;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;0;0;0;0;0;0;0;0;4;0;0;0;0;6;0;0;0;0;0;0;0;16;0;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;?;ts;-3.19;-1.44;1.313;1.953;1.636;2.807;5;3;5;3;8;4;3;5;3;2.202;-1.883;8.214;-4.453;12.67;71.93;102.7;62.16;129.5;0.3478;0.1841;0.1114;0.2321;0.1713;0.1138;0.2336;54.22;36.02;73.94;19.97;9.314;4;271.2;13;7;142.4;11.46;0.6683;531.9;308.4;5.237;316.5;288.2;360.2;80.03;1.135;428.4;557.9;0.1739;0.7679;0.7664;242.6;0.001766;0.9982;0;1;0;0;-0.1209;-0.1528;0.0584;0.1421;0.5394;1.449;1;1;7.04;4.65;-0.4459;0.3242;-30.16;12.16;-0.2998;0.2397;-0.8608;0.5879;2.625;1.842;0.3829;0.583;0.8309;0.0467;0.03277;0.1212;0.006812;-0.9;0.5438;-16.15;-0.9;3.51;2.22;3.06;-0.195;0.2853;0.57;3.63;0.151;0.1526;3.136;264.9;-31.07;-8.393;20.77;293;24.95;7.064;17.17;0.4749;0.5251;0.5286;0.4714;167.3;-60.61;-10.94;48.43;149.2;65.65;8.603;54.16;0;0;164;164;36.38;3;1;0;0;1;14;43;0;18;0;0;7;23;0;14;10;10;93.23;35.86;57.37;1;4;3;0;0;0;0;0;3;14;0.0454;13;25;18;5;4;0.013;16;0;1.184;3.075;17.81;7.92;6.428;14.52;7.048;1.053;4.8;1.818;3.389;0;1.917;1.371;9.801;9.517;8.963;2.414;2.948;3.642;4;2;7;5.861;8.663;1272;0.2737;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;17;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;?;ts;-0.72;-0.72;-0.72;-0.211;-0.116;-0.572;5;4;4;4;9;3;4;4;4;1.5;-1.78;5.195;-6.72;11.92;93.17;127.3;125.2;213.4;0.8182;0.3823;0.3762;0.6412;0.3228;0.2909;0.5115;54.7;49.28;86.66;50.77;4.299;1;134.8;6;3;44.16;7.305;2.733;237.8;172.2;-0.5237;169.4;90.35;183.5;49.23;0.989;119.4;332.8;0.09091;0.3588;0.4885;82.78;1;0;0;0;1;0;-0.1591;-0.3147;0.1157;0.2618;0.7707;1.681;0;0;5.478;3.853;-0.767;0.5196;-20.65;11.45;-0.3011;0.4696;-1.001;0.6795;7.512;4.246;1.443;0.7195;1.273;0.09778;0.05527;0.2446;0.01879;-0.978;1.447;-11.36;-0.978;0.709;2.24;1.878;-0.4208;0.3509;1.3;3.178;0.3787;0.3785;4.363;141.8;-29.84;-4.3;17.13;191;22.43;4.157;11.76;0.4261;0.5739;0.507;0.493;85.9;-70.22;-5.88;44.57;83.54;77.95;5.459;49.99;0;0;90;90;17.17;1;0;0;0;0;6;19;0;6;0;0;4;11;0;6;0;0;9.064;45.32;81.57;2;2;4;0;0;1;0;0;1;1;0.0058;1;11;8;5;5;0.029;9;0;2.041;2.02;9.091;3.164;3.787;7.132;3.087;0.8296;1.59;0.8865;0.8668;0.1179;0.3956;0.2982;17.07;9.085;8;2.942;4.336;4.5;2;2;6;3.098;3.511;152;0.4055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
9;?;ts;1.21;1.39;1.665;2.259;2.015;2.276;4;2;5;2;6;5;2;5;2;1.613;-1.7;6.521;-3.27;9.791;61.1;114.1;89.17;146.3;0.3333;0.2525;0.1973;0.3236;0.2379;0.1604;0.2907;57;38.43;69.66;23.6;6.881;2;203.6;10;5;89.23;11.78;0.05287;380.5;240.3;1.571;239.6;197.8;258.9;76.4;1.02;305.7;452;0.1111;0.6764;0.7093;170;0.5309;0.4691;0;0;1;0;-0.1258;-0.2777;0.0839;0.1797;0.5471;1.215;0;0;4.957;3.995;-0.6065;-0.5158;-28.62;12.62;-0.3145;0.2326;-0.6926;0.5228;2.451;2.019;0.4318;0.4838;0.5873;0.03794;0.03125;0.1035;0.006684;-0.566;0.4832;-13.23;-0.566;2.221;1.85;1.684;-0.1917;0.195;0.379;2.063;0.1614;0.1418;2.449;200.5;-42.51;-8.567;33.81;251.5;30.51;7.426;20.57;0.4435;0.5565;0.5079;0.4921;121.7;-97.99;-11.71;76.45;117.9;91.75;9.511;50.06;0;0;126;126;26.31;1;0;0;0;0;15;30;0;13;0;0;7;18;0;9;6;6;64.07;40.04;48.05;1;4;1;1;0;0;0;0;3;11;0.0458;8;20;16;5;2;0.0083;15;0;1.185;2.736;13.01;5.551;4.898;10.98;5.004;0.5955;3.966;1.522;2.657;0;1.468;0.963;9.935;9.151;8.871;2.726;3.041;3.702;1;1;1;4.469;6.691;598;0.2819;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;9;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;?;ts;3.36;3.36;3.356;2.792;2.839;3.538;5;0;3;0;5;3;0;3;0;1.72;0;4.828;0;4.828;45.65;86.34;0;86.34;0.2778;0.2057;0;0.2057;0.2053;0;0.2053;46.6;0;46.6;18.26;6.638;1;200.6;8;4;53.14;21.77;0.4769;363.1;238.2;2.095;226.9;204.3;250;81.74;1.016;333.4;419.7;0.05556;0.7943;0.7947;180.3;1;0;0;0;1;0;-0.1262;-0.2808;0.0701;0.1262;0.5408;1.298;0;0;5.191;3.224;-0.8487;0.011;-28.45;12.46;-0.3428;0.198;-0.8211;0.4767;1.761;1.761;0;0.3997;0.3997;0.02653;0.02653;0;0;-0.57;0.3976;-9.531;-0.57;2.552;1.05;0;-0.1963;0.1835;1.503;1.503;0.1418;0.1122;3.883;187.1;-23.57;-4.543;17.93;232.6;16.65;3.7;9.906;0.4457;0.5543;0.4435;0.5565;100.7;-68.28;-6.83;60.1;126.3;50.01;5.784;29.92;0;0;124;124;25.93;0;0;0;0;0;12;28;0;15;0;0;7;18;0;14;10;10;102.1;25.53;42.54;3;0;0;0;0;0;0;0;3;12;0.0504;12;20;18;3;3;0.0126;16;0;1.349;2.89;13.01;5.175;3.322;10.66;4.696;0.5578;3.736;1.474;2.792;0;1.656;0.9704;9.751;9.386;9.179;2.65;2.982;3.912;4;?;?;3.786;6.339;523;0.3155;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;?;ts;1.99;1.97;1.99;2.395;2.01;2.034;7;1;11;1;8;8;1;8;1;1.233;-2.04;5.167;-2.04;7.207;156.7;320.6;18.3;352.9;0.3636;0.6615;0.03776;0.7281;0.4877;0.04989;0.6007;131.5;13.45;161.9;57.68;7.117;3;226.4;9;5;115.3;41.07;0;363.4;303.2;3.666;269.6;115;271.6;42.32;1.103;131.8;484.7;0.1364;0.2719;0.3993;107.7;0.955;0.04501;0;0;1;0;-0.1222;-0.6397;0.084;0.1916;0.5656;1.179;0;0;8.301;2.363;-0.7832;-0.4773;-35.98;12.58;-0.3507;0.2149;-0.7641;0.4145;3.783;3.634;0.06457;0.9796;1.02;0.06211;0.05966;0.01741;0.00106;-0.62;0.907;-16.18;-0.62;1.365;0.762;3.457;-0.2901;0.2347;3.12;6.577;0.3109;0.3261;1.776;225.2;-21.5;-4.84;12.55;259.4;33.77;8.817;18.83;0.4647;0.5353;0.388;0.612;104.6;-65.76;-6.867;32.05;165;101.7;16.26;41.5;0;0;154;154;24.12;1;0;0;0;0;13;27;0;11;0;0;5;22;0;13;9;9;0;123.5;89.83;6;5;1;0;0;0;0;0;3;2;0.0066;0;24;21;11;9;0.0297;22;0;1.352;2.902;16.84;6.482;5.263;12.68;5.629;0.8838;4.033;1.803;2.712;0;1.825;1.314;10.53;10.51;10.48;2.551;2.888;3.77;2;3;?;4.717;6.918;969;0.3812;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;?;ts;3.01;3.01;3.012;2.384;2.576;3.16;7;0;8;0;7;5;0;6;0;2.032;0;5.855;0;5.855;105.9;179.3;0;197.7;0.2917;0.3217;0;0.3549;0.2735;0;0.3265;87.84;0;104.9;29.33;8.413;6;268.4;13;7;146.9;16.14;2.518;480.3;330.3;5.237;321.2;255.1;361;70.67;1.217;359.5;557.2;0.2083;0.6451;0.6735;216.3;0.9954;0.004595;0;0;1;0;-0.1053;-0.2969;0.0766;0.1909;0.5488;1.592;0;0;14.91;4.041;-0.8038;0.2077;-40.52;21.72;-0.2647;0.2841;-0.8926;0.6993;1.837;1.837;0;0.59;0.59;0.03292;0.03292;0;0;-0.57;0.907;-17.08;-0.57;3.4;1.35;0.918;-0.1988;0.1849;2.681;3.599;0.1898;0.2307;2.34;280.1;-22.98;-6.591;16.25;277.1;26.75;7.07;16.18;0.5027;0.4973;0.4389;0.5611;141;-62.02;-8.74;43.05;180.2;62.69;10.46;36.85;0;0;172;172;32.09;0;0;0;0;0;12;38;0;16;0;0;9;24;0;6;6;0;69.54;69.54;60.84;6;2;0;0;0;0;0;0;2;8;0.0242;8;25;18;8;8;0.0242;19;0;1.529;2.889;20.31;10.22;9.333;14.67;6.494;0.8839;4.315;1.498;2.922;0;1.69;1.054;10.5;9.754;9.496;2.871;2.904;3.955;2;?;?;6.187;8.358;1488;0.3082;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;11;0;0;0;3;0;0;0;0;0;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;?;ts;4.75;4.75;4.752;6.285;5.738;5.027;2;0;4;0;2;4;0;4;0;2.975;0;5.476;0;5.476;45.52;40.25;0;42.32;0.08696;0.06275;0;0.06597;0.04885;0;0.1079;20.95;0;46.25;8.825;11.65;9;361.2;10;5;176.8;103.9;14.44;604.4;739.7;9.95;428.8;470.3;515.8;91.17;1.493;599.2;641.5;0.5217;0.934;0.8921;382.6;0.9954;0.004595;0;0;1;0;-0.1303;-0.1146;0.0546;0.0696;0.7148;0.6977;0;0;2.468;2.615;-1.308;-0.1739;-17.65;16.05;-0.2762;0.4387;-0.4634;0.2344;0.3608;0.3608;0;0.1547;0.1547;0.007471;0.007471;0;0;-0.7;1.514;-11.81;-0.7;2.22;0;0;-0.1098;0.1962;2.354;2.354;0.1098;0.2675;3.927;298.4;-13.51;-4.042;12.2;343.1;13.61;4.519;11.79;0.4652;0.5348;0.3902;0.6098;167.3;-45.34;-7.257;37.81;261.5;50.33;13.09;31.6;0;0;125;350;49.12;0;0;0;0;0;0;44;6;12;0;0;0;23;0;0;0;0;218.5;84.06;33.62;4;0;0;0;1;0;6;0;0;13;0.0176;13;22;4;5;5;0.0068;7;0;4.588;2.132;23;10.78;9.778;17.86;9.542;2.34;6.591;4.628;2.768;0.2372;2.13;1.671;35.04;35.04;35.04;4.311;4.315;4.315;2;?;?;5.827;10.19;1312;0.2576;2;0;3;0;0;0;0;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;9;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
20;?;ts;?;?;2.203;2.622;2.577;1.576;6;0;7;0;6;5;0;6;0;1.812;0;5.381;0;5.381;99.95;220.6;0;237.5;0.3;0.4335;0;0.4667;0.3318;0;0.3926;92.68;0;109.6;34.12;7.108;5;233.3;10;5;88.99;27.54;9.02;383.8;291.3;4.189;279.3;193;293;65.88;1.147;271.4;508.9;0.25;0.5333;0.6074;169.7;?;?;0;0;1;0;-0.1293;-0.3685;0.079;0.263;0.5982;1.53;0;0;10.49;2.991;-0.8181;-0.4579;-27.54;11.54;-0.312;0.2862;-0.8103;0.72;2.51;2.51;0;0.701;0.701;0.04194;0.04194;0;0;-0.57;0.907;-15.16;-0.57;2.808;0.45;2.033;-0.2087;0.2343;2.04;4.073;0.1977;0.2464;2.525;221;-21.82;-4.86;11.75;287.9;24.78;7.211;16.44;0.4343;0.5657;0.3563;0.6437;99.53;-69.72;-6.839;37.14;179.8;79.22;14;57.91;0;0;150;150;27.38;1;0;0;0;0;9;29;0;12;0;0;3;20;0;9;6;5;40.18;80.35;60.27;4;3;0;0;0;1;0;0;2;6;0.0206;4;21;15;8;6;0.0206;16;0;1.645;2.926;16.37;7.32;5.731;12.15;5.253;0.6604;3.784;1.472;2.526;0;1.469;0.9799;16.47;10.5;9.747;2.677;3.148;3.81;2;?;?;4.722;6.964;795;0.3594;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;5;0;0;0;1;3;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
21;?;ts;0.68;0.68;0.68;1.54;1.764;0.659;4;2;4;2;6;3;2;4;2;1.673;-1.426;4.615;-2.793;7.408;72.18;116.8;95.82;171.8;0.3;0.2467;0.2024;0.3629;0.1883;0.146;0.2624;53.67;41.61;74.78;20.71;7.561;2;249.8;9;5;45.27;9.873;6.173;531.2;282.4;14.14;285;276.4;348.6;79.29;1.099;301.7;473.5;0;0.6371;0.7376;210.2;1;0;0;0;1;0;-0.1178;-0.1488;0.0515;0.1616;0.6571;1.514;0;0;8.727;5.256;-1.404;0.7886;-7.577;5.577;-0.3815;0.2756;-0.8046;0.7094;2.029;1.687;0.3415;0.4807;0.5781;0.03424;0.02848;0.09733;0.005766;-0.68;0.659;-10.03;-0.68;1.56;0.8;0;-0.06051;0.182;2.36;2.36;0.05619;0.1431;4.433;194.3;-22.48;-4.812;19.81;279.2;20.89;5.657;15.73;0.4104;0.5896;0.2879;0.7121;82.04;-60.79;-5.744;50.14;202.9;44.64;8.949;37.03;0;0;154;154;34.09;0;0;0;0;0;0;46;0;16;0;0;0;20;0;14;11;10;73.66;24.55;36.83;4;0;0;2;0;0;0;0;3;12;0.0425;12;22;15;4;4;0.0142;2;0;1.423;2.996;14.92;5.025;3.277;14.28;9.082;2.153;7.838;5.261;6.136;0.4206;4.797;3.099;9.624;8.767;8.518;3.558;3.796;4.058;4;4;4;4.003;9.002;684;0.2428;0;0;3;4;4;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;13;3;0;0;2;1;5;2;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
