ID;ames;set;_Numb._of_atoms;_Numb._of_bonds;_Numb._of_rings;_MaxRing1;_MaxRing2;_MaxRing3;Numb._of_rot._bonds;Numb._of_rig._bonds;Max._flex._chain_1;Max._flex._chain_2;Max._flex._chain_3;_Max._rig._chain;_Num._rig._frag.;_Part._flex._chain;_Min_eV_#1;_Min_eV_#2;_Min_eV_#3;_Max_eV_#1;_Max_eV_#2;_Max_eV_#3;_Graph_radius;_Graph_diameter;_Wiener_index;_Balaban_index;_Motoc_index;_Randic_index;_Inform_content;_K&H_Kappa1;_K&H_Kappa2;_K&H_Kappa3;_Kier_Chi0;_Kier_Chi2;_Kier_Chi3p;_Kier_Chi3c;_Kier_Chi4p;_Kier_Chi4c;_Kier_Chi5p;_Kier_Chi5c;_Kier_Chi6p;_Carbon_count;_Nitrogen_count;_Oxygen_count;_Silicon_count;_Phosphorous_count;_Sulphur_count;_Fluorine_count;_Clorine_count;_Bromine_count;_Iodine_count;Max._pos._charge_Gast.;Max._neg._charge_Gast.;Charge_range_Gast.;Aver._pos._charge_Gast.;Aver._neg._charge_Gast.;Dipole_moment_Gast.;_HMO_pi-energy;_HMO_reson._energy;_HMO_HOMO_energy;_HMO_LUMO_energy;Max.pos.chrg.(G+H);Max.neg.chrg.(G+H);Charge_range_(G+H);Aver._pos._charge_(G+H);Aver._neg._charge_(G+H);Dip._mom._2D_(G+H);_Mol._weight;_Polar_count;_Nonpolar_count;_Polar_count_/_MW;Nonpolar_count_/_MW;_Min._dist_DD;_Min._dist_DA;_Min._dist_AA;_Mol._volume_2D;_PSA;_NPSA;_TSA;_Polarizability;_HB-donors;_HB-acceptors;_Pos._ioniz.;_Neg._ioniz.;_GClogP;_NNlogP;_CMR;_Lipinski;_HYBOT_HB-Donors;HYBOT_HB-Acceptors;_HYBOT_max_donor;HYBOT_max_acceptor;_HYBOT_sum_donor;HYBOT_sum_acceptor;_HYBOT_sum_total
2;0;tr;6;5;0;0;0;0;3;0;3;0;0;0;0;3;4.59351;4.92524;6.32429;8.84619;8.42355;6.88722;3;5;35;2.65273;2.64575;2.91421;1.79176;6;5;5.33333;4.82843;1.70711;0.95711;0;0.5;0;0.25;0;0;4;0;2;0;0;0;0;0;0;0;0.20736;-0.38883;0.59618;0.06179;-0.26777;2.4801;?;?;?;?;?;?;?;?;?;?;90.121;2;2;0.02219;0.02219;?;3;3;170.8;31.35175;107.05287;138.40463;10.2278;1;2;0;0;-0.1401;-0.18332;2.36817;0;1;2;-1.58;1.6;-1.58;3.1;4.68
4;0;tr;9;8;0;0;0;0;4;0;2;2;2;0;0;2;5.22964;5.58579;5.58579;15.43031;8.41422;8.41421;2;4;88;3.82164;2.64575;4.24264;0.96496;9;3.92;2;7.32843;2.91421;3;0.70711;1.5;2.12132;0;0.5;0;4;0;4;0;1;0;0;0;0;0;0.20766;-0.38701;0.59467;0.09422;-0.32035;2.97334;?;?;?;?;?;?;?;?;?;?;156.11739;5;-1;0.03203;-0.00641;4;4;4;246.66002;90.23592;119.23751;209.47342;16.26677;4;4;0;0;-1.9228;-2.12718;3.57338;0;4;4;-1.64333;1.10067;-6.57333;4.40269;10.97602
5;0;tr;9;9;1;6;0;0;0;6;0;0;0;5;1;0;3.24245;4.38961;5.11252;9.76002;8.67757;8.54106;3;5;84;1.96738;2.56038;3.23803;2.19722;7.11111;2.72222;2.88;6.23205;2.58771;1.66241;0.45534;0.89135;0.7904;0.44245;0;0.11384;4;3;2;0;0;0;0;0;0;0;0.29038;-0.34069;0.63106;0.13898;-0.1853;2.78719;-18.05871;12.05871;-0.90542;0.66126;0.4744;-0.41773;0.89212;0.31968;-0.24607;2.21998;127.1014;2;2;0.01574;0.01574;4;2;1;170.42003;79.37603;60.97179;140.34781;10.64627;2;5;0;0;0.3918;-1.2864;2.85112;0;2;5;-2.27197;1.31712;-4.54393;5.67613;10.22006
7;0;tr;10;10;1;6;0;0;3;6;3;0;0;5;1;3;2.96167;4.36658;4.5;9.26469;8.61156;8.38084;4;7;133;1.74257;3.37639;3.97134;2.02533;8.1;4.76033;5.53086;6.50807;2.58915;1.66183;0.11785;1.02558;0.21942;0.52884;0;0.26413;8;0;2;0;0;0;0;0;0;0;0.20736;-0.38882;0.59617;0.07434;-0.13807;3.59177;-12.19732;6.19732;-0.82741;1;0.12545;-0.38882;0.51427;0.09228;-0.14453;2.09623;138.1638;2;6;0.01448;0.04343;?;3;3;236.20006;31.66373;144.19571;175.85944;15.81829;1;2;0;0;1.2742;1.42285;3.94423;0;1;2;-1.65;1.6;-1.65;2.86;4.51
8;1;tr;10;10;1;6;0;0;1;7;1;0;0;5;2;1;2.89149;3.85642;4.5;9.41735;8.93452;7.95077;3;6;121;1.9088;3;3.52671;2.02533;8.1;4;3.70248;6.4641;2.33771;1.66214;0.22767;0.86771;0.53868;0.33564;0;0.15922;7;2;1;0;0;0;0;0;0;0;0.24141;-0.28458;0.52598;0.09454;-0.11817;2.24394;-18.33687;10.33687;-0.63795;0.65573;0.29678;-0.46145;0.75823;0.14946;-0.13624;2.0798;136.15121;3;4;0.02203;0.02938;3;1;1;218.78004;63.34814;103.42539;166.77353;14.91654;3;3;1;0;0.7078;-0.22734;4.12129;0;3;3;-1.7;0.9;-4.26984;1.78833;6.05818
11;1;tr;19;20;2;6;6;0;4;15;2;1;1;5;5;3;2.72177;2.88895;3.12466;9.75339;9.5537;9.12899;6;12;818;1.36078;5.53458;6.26474;2.65259;15.39;8.3232;8;11.00556;4.36051;2.86921;0.41839;1.78039;0.71179;0.86042;0;0.48908;17;1;0;0;0;0;1;0;0;0;0.12556;-0.20076;0.32632;0.0675;-0.06328;3.39184;-30.19069;12.19069;-0.47923;0.28016;0.3262;-0.55529;0.88149;0.14136;-0.08633;4.54044;249.28229;1;17;0.00401;0.0682;?;?;?;400.78006;18.6975;272.65237;291.34988;29.45429;0;1;1;0;4.3286;4.50537;7.71299;0;0;1;0;1.12154;0;2.49073;2.49073
12;1;tr;6;6;1;3;0;0;2;3;2;0;0;2;1;2;4.46491;5.41812;5.75815;9.10437;8.70276;6.55169;2;4;31;1.49127;2.32379;2.93185;1.79176;4.16667;5;5.33333;4.40578;1.6547;0.90105;0.20412;0.55259;0.14434;0.14434;0;0;4;0;2;0;0;0;0;0;0;0;0.10625;-0.37875;0.485;0.06224;-0.37343;2.09906;?;?;?;?;?;?;?;?;?;?;88.10512;2;2;0.0227;0.0227;?;?;3;153.38;17.58554;95.34325;112.9288;9.40057;0;2;0;0;-0.2331;-0.01947;2.15589;0;0;2;0;1.526;0;3.042;3.042
13;1;tr;9;8;0;0;0;0;2;4;2;0;0;4;3;2;4.04433;4.55787;5.17227;9.80371;9.42651;7.90081;3;5;96;3.49682;2.94392;3.49917;2.19722;9;4.83951;3.55556;6.48313;2.47722;1.51718;0.32198;0.87644;0.63004;0.36425;0;0;4;3;2;0;0;0;0;0;0;0;0.29821;-0.25847;0.55668;0.06915;-0.1383;1.68766;-13.71572;10.31572;-1.11548;0.27946;0.68013;-0.87411;1.55424;0.34635;-0.36917;4.31658;131.13316;5;-1;0.03813;-0.00763;?;2;4;205.26001;83.17728;92.04864;175.22592;12.44351;2;2;0;0;1.6127;0.47653;3.27442;0;2;4;-1.28492;2;-2.56984;3.56571;6.13556
14;1;tr;18;21;4;15;13;13;1;19;1;0;0;15;4;1;2.50029;2.78304;3.54115;35.03449;9.63982;9.04394;4;8;527;1.07318;3.86284;6.53673;2.89037;11.79592;4.52862;3.52617;10.40326;4.94275;3.97727;0.55236;2.93391;1.40314;1.86366;0;1.32565;17;0;0;0;0;0;0;0;1;0;0.05829;-0.08017;0.13846;0.05247;-0.03704;1.24498;-22.50011;5.50011;-0.61803;0.37086;0.02972;-0.08017;0.10989;0.0112;-0.04223;0.64514;295.17325;0;18;0;0.06098;?;?;?;393.41003;0;254.18544;254.18544;31.19492;0;0;0;0;4.6898;5.36672;7.93251;1;0;0;0;0.4;0;2.20297;2.20297
15;1;tr;17;19;3;13;9;9;1;16;1;0;0;12;4;1;2.54218;2.88837;3.89988;10.02208;9.74815;8.88801;4;7;451;1.31405;3.66923;6.04869;2.83321;12.0554;4.59184;3.72889;10.37831;4.90584;3.59435;0.72241;2.70167;1.5208;1.67096;0;1.02961;12;3;2;0;0;0;0;0;0;0;0.1639;-0.35293;0.51683;0.06935;-0.11096;2.87905;-28.81201;12.41201;-0.69927;-0.4156;0.50257;-0.58939;1.09196;0.15585;-0.2483;4.33606;227.21877;4;8;0.0176;0.03521;5;4;2;336.06009;86.26958;141.1228;227.3924;23.56593;3;4;1;0;2.4711;2.90386;6.39312;0;3;4;-2.04;1.4;-5.32;3.74229;9.06229
