ID;ames;set;_Numb._of_atoms;_Numb._of_bonds;_Numb._of_rings;_MaxRing1;_MaxRing2;_MaxRing3;Numb._of_rot._bonds;Numb._of_rig._bonds;Max._flex._chain_1;Max._flex._chain_2;Max._flex._chain_3;_Max._rig._chain;_Num._rig._frag.;_Part._flex._chain;_Min_eV_#1;_Min_eV_#2;_Min_eV_#3;_Max_eV_#1;_Max_eV_#2;_Max_eV_#3;_Graph_radius;_Graph_diameter;_Wiener_index;_Balaban_index;_Motoc_index;_Randic_index;_Inform_content;_K&H_Kappa1;_K&H_Kappa2;_K&H_Kappa3;_Kier_Chi0;_Kier_Chi2;_Kier_Chi3p;_Kier_Chi3c;_Kier_Chi4p;_Kier_Chi4c;_Kier_Chi5p;_Kier_Chi5c;_Kier_Chi6p;_Carbon_count;_Nitrogen_count;_Oxygen_count;_Silicon_count;_Phosphorous_count;_Sulphur_count;_Fluorine_count;_Clorine_count;_Bromine_count;_Iodine_count;Max._pos._charge_Gast.;Max._neg._charge_Gast.;Charge_range_Gast.;Aver._pos._charge_Gast.;Aver._neg._charge_Gast.;Dipole_moment_Gast.;_HMO_pi-energy;_HMO_reson._energy;_HMO_HOMO_energy;_HMO_LUMO_energy;Max.pos.chrg.(G+H);Max.neg.chrg.(G+H);Charge_range_(G+H);Aver._pos._charge_(G+H);Aver._neg._charge_(G+H);Dip._mom._2D_(G+H);_Mol._weight;_Polar_count;_Nonpolar_count;_Polar_count_/_MW;Nonpolar_count_/_MW;_Min._dist_DD;_Min._dist_DA;_Min._dist_AA;_Mol._volume_2D;_PSA;_NPSA;_TSA;_Polarizability;_HB-donors;_HB-acceptors;_Pos._ioniz.;_Neg._ioniz.;_GClogP;_NNlogP;_CMR;_Lipinski;_HYBOT_HB-Donors;HYBOT_HB-Acceptors;_HYBOT_max_donor;HYBOT_max_acceptor;_HYBOT_sum_donor;HYBOT_sum_acceptor;_HYBOT_sum_total
1;?;ts;50;60;11;44;40;40;0;60;0;0;0;?;17;?;2.11451;2.19411;2.19607;10.29948;10.18259;10.14173;9;17;8149;0.64595;7.51461;17.33895;3.21888;33.34722;12.25;7.77708;27.89446;14.34721;12.16794;1.98057;9.6484;5.3297;6.68188;0;4.92577;42;2;6;0;0;0;0;0;0;0;0.19901;-0.35099;0.55;0.07218;-0.13234;5.64029;-77.56071;11.56071;-0.55526;-0.32518;0.47366;-0.80016;1.27381;0.12588;-0.41305;15.28562;646.60211;6;36;0.00928;0.05568;5;4;4;940.27972;137.56779;416.70691;554.27472;69.24715;2;8;0;0;7.7518;6.17267;18.26171;2;2;8;-2.04;1.72;-4.08;14.75488;18.83488
3;?;ts;23;25;3;14;10;10;4;18;3;1;0;13;4;4;2.41365;2.9483;3.64213;9.80118;9.51737;8.96349;7;13;1272;1.1842;5.86138;8.66279;3.07522;17.8112;7.92;6.42805;14.52458;7.04825;4.79965;1.05259;3.3886;1.81755;1.91646;0;1.37096;18;4;1;0;0;0;0;0;0;0;0.23967;-0.29977;0.53944;0.05837;-0.12091;4.6495;-30.1599;12.1599;-0.44593;0.32424;0.58794;-0.86081;1.44875;0.1421;-0.15279;7.04021;308.37759;4;14;0.01297;0.0454;7;2;4;531.93005;71.9325;288.24274;360.17523;36.3819;3;4;3;0;1.9534;1.63561;9.22514;0;3;5;-1.88333;2.20222;-4.45281;8.21353;12.66634
6;?;ts;11;11;1;6;0;0;1;8;1;0;0;5;4;1;2.94155;4.33589;4.5;17.07464;9.08484;8;3;6;152;2.04046;3.09839;3.51109;2.01981;9.09091;3.16406;3.78698;7.13186;3.08733;1.59002;0.82957;0.8668;0.88647;0.39559;0.11785;0.29822;6;2;2;0;0;1;0;0;0;0;0.4696;-0.30109;0.77069;0.11572;-0.15912;3.85346;-20.65013;11.45013;-0.76695;0.51965;0.67954;-1.00121;1.68075;0.26174;-0.31467;5.47952;172.20493;5;1;0.02904;0.00581;6;2;2;237.77002;93.1664;90.3504;183.51682;17.17135;4;3;1;0;-0.2114;-0.11637;4.27665;0;4;4;-1.78;1.5;-6.72;5.195;11.915
9;?;ts;18;20;3;9;6;6;2;16;1;1;0;8;3;2;2.72634;3.04118;3.70157;9.93455;9.15104;8.87141;5;10;598;1.18465;4.46921;6.69143;2.73634;13.005;5.55102;4.89796;10.98061;5.00422;3.96575;0.59552;2.65742;1.5218;1.46782;0;0.96299;13;4;1;0;0;0;0;0;0;0;0.23264;-0.31449;0.54713;0.08385;-0.12578;3.99471;-28.61657;12.61657;-0.60653;-0.51577;0.52285;-0.69255;1.2154;0.17969;-0.27771;4.95645;240.26057;2;11;0.00832;0.04578;1;1;1;380.50003;61.09509;197.83183;258.92694;26.31166;2;5;1;0;2.2593;2.01457;6.97607;0;2;5;-1.7;1.6125;-3.27;6.52092;9.79092
10;?;ts;18;20;3;14;10;10;1;18;1;0;0;14;5;1;2.64966;2.98154;3.91166;9.75092;9.38589;9.1792;4;8;523;1.34899;3.78594;6.33913;2.89037;13.005;5.17479;3.3218;10.66277;4.69594;3.73585;0.55785;2.79179;1.47419;1.65597;0;0.97035;15;0;3;0;0;0;0;0;0;0;0.19796;-0.34284;0.5408;0.07009;-0.12616;3.22402;-28.45498;12.45498;-0.84872;0.011;0.47671;-0.82112;1.29783;0.12623;-0.28077;5.19133;238.2381;3;12;0.01259;0.05037;?;?;4;363.08005;45.6478;204.33139;249.97919;25.93159;0;3;0;0;2.792;2.83864;6.71162;0;0;3;0;1.72;0;4.82799;4.82799
17;?;ts;22;24;3;13;9;9;3;18;1;1;1;12;6;2;2.55998;2.90374;3.85847;10.07324;9.97562;9.91689;5;9;969;1.35174;4.71665;7.6605;3.09104;16.84375;6.48148;5.26316;13.71518;6.43961;4.46257;1.10395;2.9904;2.16477;2.07244;0;1.55711;11;5;6;0;0;0;0;0;0;0;0.20288;-0.35069;0.55357;0.071;-0.10327;2.35297;-41.02588;21.82587;-0.78626;-0.58296;0.62154;-0.50831;1.12985;0.27683;-0.41377;10.16867;303.18729;9;2;0.02968;0.0066;?;3;2;363.37003;158.10608;114.95833;273.06439;24.18028;1;8;1;0;2.395;2.00978;7.02833;0;1;8;-2.04;1.23333;-2.04;5.16703;7.20703
18;?;ts;24;25;2;6;6;0;6;17;4;1;1;5;5;5;2.88387;2.90383;3.97217;9.95499;9.7538;9.49646;7;13;1488;1.52909;6.18671;8.60499;2.947;20.3136;10.22222;9.33333;15.01614;6.76535;4.46045;0.95769;3.00488;1.62028;1.73812;0;1.10729;16;2;6;0;0;0;0;0;0;0;0.28408;-0.26474;0.54882;0.07343;-0.10097;4.14717;-42.19957;24.79957;-0.80379;-0.33807;0.69935;-0.89262;1.59196;0.22414;-0.2481;14.9559;330.29214;8;8;0.02422;0.02422;?;?;2;480.34003;106.34872;255.1064;361.45514;32.10952;0;5;0;0;2.3843;2.57615;8.39127;0;0;6;0;2.03202;0;5.8549;5.8549
19;?;ts;23;22;0;0;0;0;9;4;3;3;3;2;3;6;4.31061;4.31524;4.31525;35.03572;35.03571;35.03571;5;10;1312;4.58782;5.82688;10.18581;2.13241;23;10.78;9.77778;17.86106;9.54239;6.59056;2.33956;2.7679;4.62755;2.13044;0.23717;1.67139;12;0;4;0;1;0;0;0;6;0;0.43868;-0.27617;0.71484;0.05465;-0.13032;2.61511;-17.65224;16.05224;-1.30761;-0.17388;0.23436;-0.46336;0.69772;0.06957;-0.1146;2.4678;739.69049;5;13;0.00676;0.01757;?;?;2;604.40002;45.52237;470.29138;515.81378;49.11695;0;4;0;0;6.285;5.73807;11.5244;2;0;4;0;2.975;0;5.4755;5.4755
20;?;ts;20;21;2;9;6;5;5;14;2;2;2;8;5;4;2.68415;3.1493;3.87981;16.46681;9.95924;9.7464;5;10;795;1.64503;4.72229;7.21098;2.99573;16.37188;7.31986;5.73153;12.49964;5.52377;3.92842;0.73418;2.60723;1.59328;1.53367;0;1.04815;12;3;4;0;0;1;0;0;0;0;0.28617;-0.31202;0.59819;0.07516;-0.12298;2.99092;-29.22717;14.62717;-0.82325;-0.49428;0.71997;-0.81033;1.5303;0.27502;-0.34046;10.77388;291.28256;6;6;0.0206;0.0206;?;?;2;383.83002;100.43118;193.01915;293.45032;27.40167;0;5;1;0;2.6216;2.57674;7.21987;0;0;6;0;1.8125;0;5.38082;5.38082
21;?;ts;20;22;3;14;11;10;2;15;0;0;0;14;4;0;3.55787;3.79572;4.05812;9.62364;8.76749;8.51837;5;9;684;1.42271;4.00263;9.00207;2.99573;14.91736;5.02531;3.27662;14.28409;9.08203;7.83806;2.15287;6.13612;5.26113;4.79657;0.4206;3.09858;16;0;4;0;0;0;0;0;0;0;0.27559;-0.38147;0.65706;0.05155;-0.11783;5.25647;-7.5772;5.5772;-1.40371;0.7886;0.70938;-0.80461;1.51398;0.16163;-0.14881;8.7268;282.37524;4;12;0.01417;0.0425;4;4;4;531.22003;72.18226;276.41113;348.59338;34.08928;2;3;0;0;1.5401;1.76444;7.39427;0;2;4;-1.42611;1.6725;-2.79269;4.61484;7.40753
